TextID,Author,Title,Sentence
1,Лев Николаевич Толстой,Война мир,"В кабинете, полном дыма, шел разговор о войне, которая была объявлена манифестом, о наборе."
1,Лев Николаевич Толстой,Война мир,"Один из говоривших был штатский, с морщинистым, желчным и бритым худым лицом, человек, уже приближавшийся к старости, хотя и одетый, как самый модный молодой человек; он сидел с ногами на оттоманке с видом домашнего человека и, сбоку запустив себе далеко в рот янтарь, порывисто втягивал дым и жмурился."
1,Лев Николаевич Толстой,Война мир,"– Ну, сударыня, – начал старик, пригнувшись близко к дочери над тетрадью и положив одну руку на спинку кресла, на котором сидела княжна, так что княжна чувствовала себя со всех сторон окруженною тем табачным и старчески-едким запахом отца, который она так давно знала."
1,Лев Николаевич Толстой,Война мир,"Виноват ли был учитель, или виновата была ученица, но каждый день повторялось одно и то же: у княжны мутилось в глазах, она ничего не видела, не слышала, только чувствовала близко подле себя сухое лицо строгого отца, чувствовала его дыхание и запах и только думала о том, как бы ей уйти поскорее из кабинета и у себя на просторе понять задачу."
1,Лев Николаевич Толстой,Война мир,"Хозяин-немец, в фуфайке и колпаке, с вилами, которыми он вычищал навоз, выглянул из коровника."
1,Лев Николаевич Толстой,Война мир,"Денисов улыбнулся, достал из ташки платок, распространявший запах духов, и сунул в нос Несвицкому."
1,Лев Николаевич Толстой,Война мир,С моста поднялся густой дым.
1,Лев Николаевич Толстой,Война мир,"– сказал князь Андрей, живо воображая себе серые шинели, раны, пороховой дым, звуки пальбы и славу, которая ожидает его."
1,Лев Николаевич Толстой,Война мир,"Прямо против батареи, на горизонте противоположного бугра, виднелась деревня Шенграбен; левее и правее можно было различить в трех местах среди дыма их костров массы французских войск, которых, очевидно, большая часть находилась в самой деревне и за горою."
1,Лев Николаевич Толстой,Война мир,"Левее деревни, в дыму, казалось что-то похожее на батарею, но простым глазом нельзя было рассмотреть хорошенько."
1,Лев Николаевич Толстой,Война мир,"XVII

Князь Андрей верхом остановился на батарее, глядя на дым орудия, из которого вылетело ядро."
1,Лев Николаевич Толстой,Война мир,"Еще дым первого выстрела не рассеялся, как показался другой дымок и выстрел."
1,Лев Николаевич Толстой,Война мир,"В то время как он подъезжал, из орудия этого, оглушая его и свиту, зазвенел выстрел, и в дыму, вдруг окружившем орудие, видны были артиллеристы, подхватившие пушку и, торопливо напрягаясь, накатывавшие ее на прежнее место."
1,Лев Николаевич Толстой,Война мир,"XVIII

Князь Багратион, выехав на самый высокий пункт нашего правого фланга, стал спускаться книзу, где слышалась перекатная стрельба и ничего не видно было от порохового дыма."
1,Лев Николаевич Толстой,Война мир,"Впереди, в дыму, уже были видны ряды серых шинелей, и офицер, увидав Багратиона, с криком побежал за солдатами, шедшими толпой, требуя, чтоб они воротились."
1,Лев Николаевич Толстой,Война мир,Весь воздух пропитан был пороховым дымом.
1,Лев Николаевич Толстой,Война мир,"Но в кого они стреляли, этого не было видно от порохового дыма, не уносимого ветром."
1,Лев Николаевич Толстой,Война мир,"Вдруг между французами треснул один выстрел, другой, третий… и по всем расстроившимся неприятельским рядам разнесся дым и затрещала пальба."
1,Лев Николаевич Толстой,Война мир,Генерал закашлялся от крика и порохового дыма и остановился в отчаянии.
1,Лев Николаевич Толстой,Война мир,"Дым-то, дым-то!"
1,Лев Николаевич Толстой,Война мир,"В дыму, оглушаемый беспрерывными выстрелами, заставлявшими его каждый раз вздрагивать, Тушин, не выпуская своей носогрелки, бегал от одного орудия к другому, то прицеливаясь, то считая заряды, то распоряжаясь переменой и перепряжкой убитых и раненых лошадей, и покрикивал своим слабым, тоненьким, нерешительным голоском."
1,Лев Николаевич Толстой,Война мир,"Неприятельские пушки в его воображении были не пушки, а трубки, из которых редкими клубами выпускал дым невидимый курильщик."
1,Лев Николаевич Толстой,Война мир,"XXI

Ветер стих, черные тучи низко нависли над местом сражения, сливаясь на горизонте с пороховым дымом."
1,Лев Николаевич Толстой,Война мир,"Он слышал тепло ее тела, запах духов и слышал скрып ее корсета при дыхании."
1,Лев Николаевич Толстой,Война мир,"То двигались тысячи ног и штыков с развевавшимися знаменами и по команде офицеров останавливались, заворачивались и строились в интервалах, обходя другие такие же массы пехоты в других мундирах; то мерным топотом и бряцанием звучала нарядная кавалерия в синих, красных, зеленых шитых мундирах с расшитыми музыкантами впереди, на вороных, рыжих, серых лошадях; то, растягиваясь с своим медным звуком подрагивающих на лафетах, вычищенных, блестящих пушек и с своим запахом пальников, ползла между пехотой и кавалерией артиллерия и расставлялась на назначенных местах."
1,Лев Николаевич Толстой,Война мир,"Сражение, состоявшее только в том, что захвачен эскадрон французов, было представлено как блестящая победа над французами, и потому государь и вся армия, особенно пока не разошелся еще пороховой дым на поле сражения, верили, что французы побеждены и отступают против своей воли."
1,Лев Николаевич Толстой,Война мир,"Дым от костров, в которые бросали все лишнее, ел глаза."
1,Лев Николаевич Толстой,Война мир,"Колонны двигались, не зная куда и не видя от окружавших людей, от дыма и от усиливающегося тумана ни той местности, из которой они выходили, ни той, в которую они вступали."
1,Лев Николаевич Толстой,Война мир,"Но в тот же миг все застлалось дымом, раздалась близкая стрельба, и наивно испуганный голос в двух шагах от князя Андрея закричал: «Ну, братцы, шабаш!» И как будто голос этот был команда."
1,Лев Николаевич Толстой,Война мир,"Выбравшись из толпы бегущих, князь Андрей, стараясь не отставать от Кутузова, увидал на спуске горы, в дыму, еще стрелявшую русскую батарею и подбегающих к ней французов."
1,Лев Николаевич Толстой,Война мир,"Видны были, по блеску штыков между дымом, двигавшиеся массы пехоты и узкие полосы артиллерии с зелеными ящиками."
1,Лев Николаевич Толстой,Война мир,"Ростов на пригорке остановил на минуту лошадь, чтобы рассмотреть то, что делалось; но как он ни напрягал внимание, он ничего не мог ни понять, ни разобрать из того, что делалось: двигались там в дыму какие-то люди, двигались и спереди и сзади какие-то холсты войск; но зачем?"
1,Лев Николаевич Толстой,Война мир,"Дальше нельзя было ничего видеть, потому что тотчас же после этого откуда-то стали стрелять пушки и все застлалось дымом."
1,Лев Николаевич Толстой,Война мир,"В ту минуту как кавалергарды, миновав его, скрылись в дыму, Ростов колебался, скакать ли ему за ними или ехать туда, куда ему нужно было."
1,Лев Николаевич Толстой,Война мир,"Дым, особенно густой от тумана, помешал ему видеть в первое мгновение; но другого выстрела, которого он ждал, не последовало."
1,Лев Николаевич Толстой,Война мир,"Только слышны были торопливые шаги Долохова, и из-за дыма показалась его фигура."
1,Лев Николаевич Толстой,Война мир,"Потом потушили свечи, зажгли спирт, как это слышал по запаху Пьер, и сказали, что он увидит малый свет."
1,Лев Николаевич Толстой,Война мир,"Я чувствую, что, кроме меня, надо мной живут духи и что в этом мире есть правда."
1,Лев Николаевич Толстой,Война мир,"Как только Ростов вошел в двери дома, его обхватил запах гниющего тела и больницы."
1,Лев Николаевич Толстой,Война мир,"Больничный запах был так силен в этом темном коридоре, что Ростов схватился за нос и должен был остановиться, чтобы собраться с силами и идти дальше."
1,Лев Николаевич Толстой,Война мир,"Запах, к которому он уже успел придышаться в коридоре, здесь был еще сильнее."
1,Лев Николаевич Толстой,Война мир,"Запах этот здесь несколько изменился: он был резче, и чувствительно было, что отсюда-то именно он и происходил."
1,Лев Николаевич Толстой,Война мир,"«И как они могут не только хохотать, но жить тут?» – думал Ростов, все слыша еще этот запах мертвого тела, которого он набрался в солдатском госпитале, и все еще видя вокруг себя эти завистливые взгляды, провожавшие его с обеих сторон, и лицо этого молодого солдата с закаченными глазами."
1,Лев Николаевич Толстой,Война мир,"Ему так живо казалось, что он теперь чувствует этот больничный запах мертвого тела, что он оглядывался, чтобы понять, откуда мог происходить этот запах."
1,Лев Николаевич Толстой,Война мир,"Запах еды преображенцев и голод вызвали его из этого состояния: надо было поесть что-нибудь, прежде чем уехать."
1,Лев Николаевич Толстой,Война мир,"Неприятно… А моя невеста… Вот будете приходить к нам… – продолжал Берг, он хотел сказать – обедать, но раздумал и сказал: «чай пить», и, проткнув его быстро языком, выпустил круглое маленькое колечко табачного дыма, олицетворявшее вполне его мечты о счастии."
1,Лев Николаевич Толстой,Война мир,– Вот вам духи.
1,Лев Николаевич Толстой,Война мир,В кабинете слышался сильный запах табаку и собак.
1,Лев Николаевич Толстой,Война мир,"Наташа ела все, и ей показалось, что подобных лепешек на юраге, с таким букетом варений, на меду орехов и такой курицы никогда она нигде не видала и не едала."
1,Лев Николаевич Толстой,Война мир,"В деревне, которую проезжали, были красные огоньки и весело пахло дымом."
1,Лев Николаевич Толстой,Война мир,"Он вглядывался, и, когда узнавал все ту же и другую и вспоминал этот запах пробки, смешанный с чувством поцелуя, он полной грудью вдыхал в себя морозный воздух, и, глядя на уходящую землю и блестящее небо, он чувствовал себя опять в волшебном царстве."
1,Лев Николаевич Толстой,Война мир,"Пожалуйста, поезжайте, – сказал он и, протянув руку к ее букету и понижая голос, сказал: – Vous serez la plus jolie."
1,Лев Николаевич Толстой,Война мир,Белая пухлая шея его резко выступала из-за черного воротника мундира; от него пахло одеколоном.
1,Лев Николаевич Толстой,Война мир,"Та же степенность, та же чистота, та же тишина были в этом доме, те же мебели, те же стены, те же звуки, тот же запах и те же робкие лица, только несколько постаревшие."
1,Лев Николаевич Толстой,Война мир,"Уланы близко налетели на французских драгун, что-то спуталось там в дыму, и через пять минут уланы понеслись назад не к тому месту, где они стояли, но левее."
1,Лев Николаевич Толстой,Война мир,"Опять, но очень близко этот раз, засвистело что-то, как сверху вниз летящая птичка, блеснул огонь посередине улицы, выстрелило что-то и застлало дымом улицу."
1,Лев Николаевич Толстой,Война мир,Прежде ясное вечернее небо все было застлано дымом.
1,Лев Николаевич Толстой,Война мир,"И сквозь этот дым странно светил молодой, высоко стоящий серп месяца."
1,Лев Николаевич Толстой,Война мир,С двух сторон поднимались и расходились черные клубы дыма от пожаров.
1,Лев Николаевич Толстой,Война мир,"Увидав дым и даже огни пожаров, видневшиеся теперь в начинавшихся сумерках, бабы, до тех пор молчавшие, вдруг заголосили, глядя на пожары."
1,Лев Николаевич Толстой,Война мир,На небе были звезды и светился изредка застилаемый дымом молодой месяц.
1,Лев Николаевич Толстой,Война мир,"Пламя то замирало и терялось в черном дыме, то вдруг вспыхивало ярко, до странности отчетливо освещая лица столпившихся людей, стоявших на перекрестке."
1,Лев Николаевич Толстой,Война мир,"– вторя завалившемуся потолку амбара, из которого несло запахом лепешек от сгоревшего хлеба, заревела толпа."
1,Лев Николаевич Толстой,Война мир,"– Видите ли, это трудно вам объяснить… Вчера левый фланг наш был вот там, в Шевардине, вон, видите, где дуб; а теперь мы отнесли назад левое крыло, теперь вон, вон – видите деревню и дым?"
1,Лев Николаевич Толстой,Война мир,"– Да, приятный запах."
1,Лев Николаевич Толстой,Война мир,"В отверстие сломанной стены он смотрел на шедшую вдоль по забору полосу тридцатилетних берез с обрубленными нижними сучьями, на пашню с разбитыми на ней копнами овса и на кустарник, по которому виднелись дымы костров – солдатских кухонь."
1,Лев Николаевич Толстой,Война мир,"И эти березы с их светом и тенью, и эти курчавые облака, и этот дым костров – все вокруг преобразилось для него и показалось чем-то страшным и угрожающим."
1,Лев Николаевич Толстой,Война мир,"Другой камердинер, придерживая пальцем склянку, брызгал одеколоном на выхоленное тело императора с таким выражением, которое говорило, что он один мог знать, сколько и куда надо брызнуть одеколону."
1,Лев Николаевич Толстой,Война мир,"Костры не ярко горели вблизи, во французской гвардии, и далеко сквозь дым блестели по русской линии."
1,Лев Николаевич Толстой,Война мир,"Это была та же панорама, которою он любовался вчера с этого кургана; но теперь вся эта местность была покрыта войсками и дымами выстрелов, и косые лучи яркого солнца, поднимавшегося сзади, левее Пьера, кидали на нее в чистом утреннем воздухе пронизывающий с золотым и розовым оттенком свет и темные, длинные тени."
1,Лев Николаевич Толстой,Война мир,"К этому туману присоединялся дым выстрелов, и по этому туману и дыму везде блестели молнии утреннего света – то по воде, то по росе, то по штыкам войск, толпившихся по берегам и в Бородине."
1,Лев Николаевич Толстой,Война мир,"И все это двигалось или казалось движущимся, потому что туман и дым тянулись по всему этому пространству."
1,Лев Николаевич Толстой,Война мир,"Как в этой местности низов около Бородина, покрытых туманом, так и вне его, выше и особенно левее по всей линии, по лесам, по полям, в низах, на вершинах возвышений, зарождались беспрестанно сами собой из ничего, пушечные, то одинокие, то гуртовые, то редкие, то частые клубы дымов, которые, распухая, разрастаясь, клубясь, сливаясь, виднелись по всему этому пространству."
1,Лев Николаевич Толстой,Война мир,– раздавался через секунду звук этого дыма.
1,Лев Николаевич Толстой,Война мир,"«Пуф-пуф» – поднимались два дыма, толкаясь и сливаясь; и «бум-бум» – подтверждали звуки то, что видел глаз."
1,Лев Николаевич Толстой,Война мир,"Пьер оглядывался на первый дым, который он оставил округлым плотным мячиком, и уже на месте его были шары дыма, тянущегося в сторону, и пуф… (с остановкой) пуф-пуф – зарождались еще три, еще четыре, и на каждый, с теми же расстановками, бум… бум-бум-бум, – отвечали красивые, твердые, верные звуки."
